,movie,year,timeinMin,IMDB_R,Metascore,Votes,US_GrossinMillions
0,Knives Out,2019,130,7.9,82,341524,165.36
1,Once Upon a Time... in Hollywood,2019,161,7.7,83,488063,142.5
2,The Gentlemen,2019,113,7.9,51,157549,
3,Parasite,2019,132,8.6,96,442287,53.37
4,Ford v Ferrari,2019,152,8.1,81,232074,117.62
5,Avengers: Endgame,2019,181,8.4,78,736226,858.37
6,Joker,2019,122,8.5,59,822414,335.45
7,Back to the Future,1985,116,8.5,87,1015046,210.61
8,1917,2019,119,8.3,78,339660,159.23
9,Ferris Bueller's Day Off,1986,103,7.8,61,310595,70.14
10,The Shawshank Redemption,1994,142,9.3,80,2258888,28.34
11,The Wolf of Wall Street,2013,180,8.2,75,1128187,116.9
12,Avengers: Infinity War,2018,149,8.4,68,784804,678.82
13,Inception,2010,148,8.8,74,1981709,292.58
14,Interstellar,2014,169,8.6,74,1430835,188.02
15,The Godfather,1972,175,9.2,100,1558687,134.97
16,Jojo Rabbit,2019,108,7.9,58,234630,0.35
17,Harry Potter and the Sorcerer's Stone,2001,152,7.6,64,618800,317.58
18,Little Women,2019,135,7.9,91,113613,108.1
19,The Dark Knight,2008,152,9.0,84,2224549,534.86
20,The Silence of the Lambs,1991,118,8.6,85,1223484,130.74
21,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92,1609183,315.54
22,The Shining,1980,146,8.4,66,860308,44.02
23,Jurassic Park,1993,127,8.1,68,836806,402.45
24,Zodiac,2007,157,7.7,78,436919,33.08
25,Pulp Fiction,1994,154,8.9,94,1767465,107.93
26,Saving Private Ryan,1998,169,8.6,91,1194212,216.54
27,The Green Mile,1999,189,8.6,61,1101722,136.8
28,Django Unchained,2012,165,8.4,81,1307077,162.81
29,Mission: Impossible - Fallout,2018,147,7.7,86,276378,220.16
30,The Princess Bride,1987,98,8.1,77,382052,30.86
31,The Matrix,1999,136,8.7,73,1619785,171.48
32,Inglourious Basterds,2009,153,8.3,69,1219395,120.54
33,Moana,2016,107,7.6,81,256249,248.76
34,Into the Wild,2007,148,8.1,73,556455,18.35
35,The Help,2011,146,8.1,62,416753,169.71
36,The Prestige,2006,130,8.5,66,1144532,53.09
37,Gladiator,2000,155,8.5,67,1297736,187.71
38,Mad Max: Fury Road,2015,120,8.1,90,848026,154.06
39,Call Me by Your Name,2017,132,7.9,93,195466,18.1
40,Titanic,1997,194,7.8,75,1017246,659.33
41,The Lighthouse,2019,109,7.6,83,111932,0.43
42,Jaws,1975,124,8.0,87,531991,260.0
43,The Departed,2006,151,8.5,85,1150814,132.38
44,The Goonies,1985,114,7.8,62,234559,61.5
45,Spider-Man: Into the Spider-Verse,2018,117,8.4,87,326503,190.24
46,Thor: Ragnarok,2017,130,7.9,74,557607,315.06
47,Guardians of the Galaxy,2014,121,8.0,76,1017418,333.18
48,The Dark Knight Rises,2012,164,8.4,78,1470354,448.14
49,Ocean's Eleven,2001,116,7.7,74,500929,183.42
